266,(71-67)*15+15,133,(40-34)*15+15,266,(73-67)*15+15,133,(56-34)*15+15,133,(43-34)*15+15,133,(54-34)*15+15,133,(63-34)*15+15,266,(88-67)*15+15,133,(62-34)*15+15,0,12*15+15,133,(59-34)*15+15,0,13*15+15,266,(85-67)*15+15,0,25*15+15,266,(79-67)*15+15,133,(51-34)*15+15,266,(96-67)*15+15,133,(65-34)*15+15,0,10*15+15,266,(69-67)*15+15,0,19*15+15,0,18*15+15,266,(95-67)*15+15,133,(52-34)*15+15,133,(61-34)*15+15,266,(86-67)*15+15,0,29*15+15,133,(35-34)*15+15,0,28*15+15,133,(66-34)*15+15,133,(48-34)*15+15,266,(92-67)*15+15,0,2*15+15,0,22*15+15,266,(90-67)*15+15,266,(72-67)*15+15,0,3*15+15,133,(34-34)*15+15,266,(68-67)*15+15,266,(84-67)*15+15,266,(89-67)*15+15,0,6*15+15,133,(42-34)*15+15,0,31*15+15,0,23*15+15,266,(83-67)*15+15,0,17*15+15,0,0*15+15,0,32*15+15,133,(64-34)*15+15,0,8*15+15,266,(74-67)*15+15,0,11*15+15,0,9*15+15,133,(49-34)*15+15,0,1*15+15,266,(91-67)*15+15,0,4*15+15,0,30*15+15,133,(46-34)*15+15,0,27*15+15,266,(99-67)*15+15,133,(60-34)*15+15,266,(78-67)*15+15,266,(94-67)*15+15,0,21*15+15,0,15*15+15,133,(39-34)*15+15,266,(77-67)*15+15,266,(98-67)*15+15,133,(37-34)*15+15,0,33*15+15,133,(45-34)*15+15,266,(82-67)*15+15,0,24*15+15,133,(38-34)*15+15,133,(53-34)*15+15,133,(50-34)*15+15,266,(67-67)*15+15,266,(87-67)*15+15,133,(41-34)*15+15,266,(80-67)*15+15,133,(47-34)*15+15,0,16*15+15,0,20*15+15,266,(70-67)*15+15,133,(44-34)*15+15,266,(97-67)*15+15,133,(55-34)*15+15,0,7*15+15,266,(75-67)*15+15,266,(76-67)*15+15,266,(81-67)*15+15,133,(58-34)*15+15,133,(36-34)*15+15,266,(93-67)*15+15,133,(57-34)*15+15,0,14*15+15,0,5*15+15,0,26*15+15,1464624986
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464625926
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464625941
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464625956
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464625971
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464625986
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626001
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626016
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626031
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626046
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626061
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626076
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626091
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626106
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626121
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626136
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626151
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626166
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626181
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626196
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626211
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626226
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626241
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626256
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626271
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626286
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626301
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626316
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626331
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626346
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626361
874,95,963,587,416,532,716,523,133,150,923,522,538,554,266,330,926,196,871,506,920,19,720,442,715,490,933,109,266,195,133,270,539,525,709,199,469,553,762,152,0,300,0,285,266,435,133,285,133,420,266,300,440,578,429,444,897,54,133,495,133,225,875,69,416,454,886,539,266,360,716,511,712,553,720,535,851,19,266,270,266,345,0,105,133,135,0,480,0,360,266,255,0,270,0,15,0,495,500,501,0,135,266,120,0,180,575,372,469,333,0,30,676,471,659,67,0,465,133,195,461,67,434,37,451,156,530,170,884,308,0,330,422,172,483,134,473,53,447,207,499,230,0,510,133,180,266,240,0,375,426,186,133,300,133,255,266,15,266,315,786,429,266,210,133,210,0,255,0,315,783,410,133,165,266,465,133,330,0,120,266,135,266,150,266,225,133,375,798,442,266,405,123,360,0,225,563,509,815,536,1464626376
